"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2QfiRTz5Yc8DdShCxG1tB2","Johnny B. Goode","spotify:artist:293zczrfYafIItmnmM3coR","Chuck Berry","spotify:album:6eedtCtCjibu80yOhylSGL","Berry Is On Top","spotify:artist:293zczrfYafIItmnmM3coR","Chuck Berry","1959-07-01","https://i.scdn.co/image/ab67616d0000b273a496dc8c33ca6d10668b3157","1","6","161560",,"false","74","USMC15719963","spotify:user:zfede97","2022-06-11T09:42:46Z"
"spotify:track:5yrsBzgHkfu2idkl2ILQis","You Don't Mess Around with Jim","spotify:artist:1R6Hx1tJ2VOUyodEpC12xM","Jim Croce","spotify:album:3L9sVl5T7UpFK6tNeEiXdy","You Don't Mess Around With Jim","spotify:artist:1R6Hx1tJ2VOUyodEpC12xM","Jim Croce","1972-04-01","https://i.scdn.co/image/ab67616d0000b27398078d325c25a5ac4081cfba","1","1","184640","https://p.scdn.co/mp3-preview/8bfb62484e1fbd99d648c80cd64837e0a7748eff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","QMRSZ1601347","spotify:user:zfede97","2022-06-11T08:53:27Z"
"spotify:track:1fDsrQ23eTAVFElUMaf38X","American Pie","spotify:artist:1gRNBaI4yn6wCCTvRhGWh8","Don McLean","spotify:album:10jsW2NYd9blCrDITMh2zS","American Pie","spotify:artist:1gRNBaI4yn6wCCTvRhGWh8","Don McLean","1971","https://i.scdn.co/image/ab67616d0000b2730085dd4362653ef4c54ebbeb","1","1","516893",,"false","73","USEM38600088","spotify:user:zfede97","2022-06-13T11:14:18Z"
"spotify:track:1H5VQuShs4qfwBXyHF0PeH","Narcotic - Radio Edit","spotify:artist:0wgLwvDNCHdJ9FblyyD4Dc","Liquido","spotify:album:79EDJF2fJnnM7YVKCAeQXj","Narcotic","spotify:artist:0wgLwvDNCHdJ9FblyyD4Dc","Liquido","1998-07-10","https://i.scdn.co/image/ab67616d0000b2738b28efbba32db47b0172fd9e","1","1","236150","https://p.scdn.co/mp3-preview/3eeccda36159f511f9b4ec008b2a30622bc5bfc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","DEG129800581","spotify:user:zfede97","2022-12-17T23:36:05Z"
"spotify:track:1JO1xLtVc8mWhIoE3YaCL0","Happy Together","spotify:artist:2VIoWte1HPDbZ2WqHd2La7","The Turtles","spotify:album:2pMxs38Y5A0mmHrcu3twvB","Happy Together","spotify:artist:2VIoWte1HPDbZ2WqHd2La7","The Turtles","1967","https://i.scdn.co/image/ab67616d0000b27372649ad8e79d1e8bdd54c929","1","6","176293","https://p.scdn.co/mp3-preview/8c691e6232f9abae21be72ed15407fd90657a73e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USA560587940","spotify:user:zfede97","2022-12-24T22:15:46Z"
"spotify:track:1HuAR7RyNWQq6vHwOFHWqx","I'm on My Way","spotify:artist:1A92IAcd7A6npCA33oGM5i","The Proclaimers","spotify:album:5sK78apv4yOoXjxRL4kOdJ","Sunshine on Leith","spotify:artist:1A92IAcd7A6npCA33oGM5i","The Proclaimers","1988","https://i.scdn.co/image/ab67616d0000b273cebdf1f7660ace8c2a80585c","1","8","225586","https://p.scdn.co/mp3-preview/653f6604f43d9d9f9456c28c5ec27cd08d715be3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBAYK8800056","spotify:user:zfede97","2023-01-12T07:58:33Z"
"spotify:track:6XUHsYE38CEbYunT983O9G","Give A Little Bit","spotify:artist:3JsMj0DEzyWc0VDlHuy9Bx","Supertramp","spotify:album:4X87hQ57jTYQTcYTaJWK5w","Even In The Quietest Moments","spotify:artist:3JsMj0DEzyWc0VDlHuy9Bx","Supertramp","1977-01-01","https://i.scdn.co/image/ab67616d0000b273bddcc30c6a3288e725aec2df","1","1","248173",,"false","73","USAM19500634","spotify:user:zfede97","2023-01-12T08:07:23Z"
"spotify:track:2kkvB3RNRzwjFdGhaUA0tz","Layla","spotify:artist:2rc78XDH9zuJP6bm78lU8Z","Derek & The Dominos","spotify:album:5iIWnMgvSM8uEBwXKsPcXM","Layla And Other Assorted Love Songs (Remastered 2010)","spotify:artist:2rc78XDH9zuJP6bm78lU8Z","Derek & The Dominos","1970-11-01","https://i.scdn.co/image/ab67616d0000b273fbcaf7402f38faac27610efc","1","13","423840",,"false","72","GBUM71028890","spotify:user:zfede97","2023-01-12T08:08:36Z"
"spotify:track:31AOj9sFz2gM0O3hMARRBx","Losing My Religion","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","spotify:album:6yEuIwTQpciH1qtj7mP5GK","Out Of Time (25th Anniversary Edition)","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","1991-03-12","https://i.scdn.co/image/ab67616d0000b273e2dd4e821bcc3f70dc0c8ffd","1","2","268426",,"false","82","USC4R1605373","spotify:user:zfede97","2023-02-05T19:32:29Z"
"spotify:track:4DDyybdhC9su038YIG6JDj","So Far Away - Remastered 1996","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:6Pz06FAaeym0JSqVqIkN56","Brothers In Arms (Remastered 1996)","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1985-05-13","https://i.scdn.co/image/ab67616d0000b2733d15b942408bff9f507f189e","1","1","306373",,"false","58","GBUM72102498","spotify:user:zfede97","2023-02-16T22:17:20Z"
"spotify:track:0iOZM63lendWRTTeKhZBSC","Mrs. Robinson - From ""The Graduate"" Soundtrack","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","spotify:album:3bzgbgiytguTDnwzflAZr2","Bookends","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","1968-04-03","https://i.scdn.co/image/ab67616d0000b273d8fb5b4308dc27f210064ef4","1","10","244026","https://p.scdn.co/mp3-preview/b48d5e6bd6312c23e674b6d3c5293438190cd99b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USSM16800379","spotify:user:zfede97","2023-02-17T20:25:24Z"
